drug,MW,logP,Jss,lag_time,Q_48h,target_AUC,target_Cmax
caffeine,194.2,-0.07,0.0004649167954279825,27.893121754203317,0.012030887507273772,1116.6083061462887,64.88353532114647
diclofenac,296.1,4.51,7.064099430376508e-07,0.5098172114395466,3.361144908168883e-05,0.022768950528217802,0.0009339585253617392
fentanyl,336.5,4.05,2.4307207879929866e-07,0.05996478239911617,1.1658055262476914e-05,0.0024710313777453353,0.0001820971772567999
hydrocortisone,362.5,1.61,2.792882213957783e-07,0.7968173463345257,1.3277858032621909e-05,0.057020076440629376,0.005090983510218733
lidocaine,234.3,2.44,1.6938763011243827e-06,4.959423887081466,7.415885332521025e-05,0.4637170448336122,0.01700690632457256
nicotine,162.2,1.17,7.97355546959386e-06,18.87914558746207,0.0002496013438255893,7.334515711226163,0.23686736662787342
testosterone,288.4,3.32,5.196782549750701e-07,0.6232804894850122,2.4699459202787827e-05,0.028722485673641107,0.0014734203920875738
